movie title,Run Time,Rating,User Rating,Generes,Overview,Plot Kyeword,Director,Top 5 Casts,Writer,year,path
Ghost Warrior,not-released,5.2,741,"['Action', 'Sci-Fi']","A deep-frozen 400-year-old samurai is shipped to Los Angeles, where he comes back to life. Dazed and confused, he goes on a rampage. Can the female scientist and her colleague who revived him stop him before it's too late?","['samurai', 'horse', 'timeframe 1500s', 'timeframe 1900s', 'death', 'manhunt', 'repeating history', 'gunshot', 'shot with an arrow', 'murder']",J. Larry Carroll,"['Hiroshi Fujioka', 'John Calvin', 'Janet Julian', 'J. Larry Carroll', 'Tim Curnen']",Tim Curnen,-1984,/title/tt0091110/
Wild Side,1 hour 36 minutes,5.6,2.3K,"['Action', 'Thriller']","While Bruno is an international money mover and influence peddler and Virginia is his very beautiful wife, his sexual appetite requires the services of banker and part-time hooker Alex. It's love at first sight. But, who are the lovers?","['lesbian', 'dominatrix', 'bare breasts', 'sex in bed', 'sexy woman', 'bare butt', 'thong', 'dressing room', 'female rear nudity', 'corset']",Donald Cammell,"['Donald Cammell', 'Christopher Walken', 'Joan Chen', 'Steven Bauer', 'Donald Cammell']",China Kong,-1995,/title/tt0114941/
Year of the Comet,1 hour 31 minutes,5.8,1.6K,"['Action', 'Adventure', 'Romance']",An auctioneer's daughter and a rich buyer's emissary fall for each other while trying to keep a rare wine out of the hands of evil doers.,"['auction', 'growth hormone', 'wine tasting', 'rock climbing', 'wine', 'wine cellar', 'secret formula', 'chateau', 'shotgun', 'motorcycle']",Peter Yates,"['Penelope Ann Miller', 'Tim Daly', 'Louis Jourdan', 'Peter Yates', 'William Goldman']",William Goldman,-1992,/title/tt0105871/
Sworn to Justice,not-released,4.8,730,"['Action', 'Drama', 'Thriller']","After attackers kill her sister and nephew, a female psychologist becomes a defense witness by day and an avenger by night.","['pantyhose', 'female stockinged legs', 'one woman army', 'one against many', 'karate', 'roundhouse kick', 'black pantyhose', 'suntan pantyhose', 'woman wears high heels', 'blonde woman']",Paul Maslak,"['Paul Maslak', 'Neva Friedenn', 'Cynthia Rothrock', 'Tony Lo Bianco', 'Kurt McKinney']",Robert Easter,-1996,/title/tt0117803/
Noah's Shark,not-released,1.6,200,"['Action', 'Adventure', 'Horror']","A fame-seeking televangelist and his film crew team set out to find the fabled Noah's Ark, but discover it is guarded by both an ancient curse and a prehistoric great white shark.","['shark thriller', 'epic quest', 'ancient curse']",Mark Polonia,"['Jeff Kirkendall', 'Ryan Dalton', 'Jamie Morgan', 'Mark Polonia', 'John Oak Dalton']",John Oak Dalton,-2021,/title/tt15241706/
Contract to Kill,1 hour 30 minutes,3.2,1.9K,"['Action', 'Thriller']",Islamic extremists will make an alliance with a Mexican cartel to smuggle WMD and terrorists into USA. Harmon's asked to prevent this. He starts in Istanbul with his team.,"['gunfight', 'mission', 'fistfight', 'fight', 'brawl', 'espionage', 'mixed martial arts', 'hand to hand combat', 'punched in the face', 'punched in the chest']",Keoni Waxman,"['Steven Seagal', 'Russell Wong', 'Jemma Dallender', 'Keoni Waxman', 'Keoni Waxman']",Keoni Waxman,-2016,/title/tt5470222/
Mohra,2 hours 57 minutes,6.9,8.2K,"['Action', 'Drama', 'Thriller']","A journalist comes to the aid of a murderer with a life sentence when she makes an appeal in court and although he is given his freedom, they soon discover that there is a grim reason behind his release.","['corrupt cop', 'crime boss', 'lust', 'hitman', 'seduction', 'prison', 'murder', 'drug lord', 'assassin', 'death of wife']",Rajiv Rai,"['Rajiv Rai', 'Naeem Sha', 'Akshay Kumar', 'Suniel Shetty', 'Raveena Tandon']",Shabbir Boxwala,-1994,/title/tt0110546/
Act of Vengeance,"$5,000,000 (estimated)",5.7,15K,['Action'],"Two Turkish anti-terrorist agents are sent to New York City on a mission to find and bring back the dangerous Islamic leader codenamed ""Dajjal"", believed to be hiding in there. Working with the FBI and NYPD, the agents orchestrate the arrest of Hadji Gumus, a well-respected Musli... Read all","['anti terrorism', 'death', 'dhikr', 'arabic speaker', 'car', 'automobile', 'south korean car', 'kia motor vehicle', 'kia sorento', 'turkish car']",Mahsun Kirmizigül,"['Haluk Bilginer', 'Danny Glover', 'Gina Gershon', 'Mahsun Kirmizigül', 'Mahsun Kirmizigül']",Mahsun Kirmizigül,-1974,/title/tt0072067/
Act of Vengeance,not-released,5.5,900,"['Crime', 'Drama', 'Horror']","A woman is sexually assaulted by a serial rapist wearing a hockey mask. She and other victims form a squad that targets would-be rapists, all the while searching for the mask wearing maniac that raped them all.","['rape and revenge', 'bare breasts', 'female full rear nudity', 'female pubic hair', 'breast fondling', 'women in a hot tub', 'topless female nudity', 'female full frontal nudity', 'sex', 'female nudity']",Bob Kelljan,"['H.R. Christian', 'Jo Ann Harris', 'Peter Brown', 'Jennifer Lee Pryor', 'Bob Kelljan']",David Kidd,-1974,/title/tt0072067/
Mojave Diamonds,not-released,no-rating,0,"['Action', 'Crime', 'Thriller']",A former MMA fighter and his brothers must rescue their kidnapped family from a dangerous crime syndicate after $50M of illegal diamonds gets stolen.,[],Asif Akbar,"['Donald Cerrone', 'Weston Cage Coppola', 'William McNamara', 'Asif Akbar', 'Asif Akbar']",Asif Akbar,-2023,/title/tt15657202/
Yuva,2 hours 41 minutes,7.3,8.9K,"['Action', 'Drama', 'Thriller']","Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.","['goon', 'youth leader', 'election', 'bridge', 'railway station', 'multiple perspectives', 'pregnancy', 'cell phone', 'chapter headings', 'one word title']",Mani Ratnam,"['Mani Ratnam', 'Ajay Devgn', 'Abhishek Bachchan', 'Rani Mukerji', 'Mani Ratnam']",Anurag Kashyap,-2004,/title/tt0382383/
Outrage Coda,1 hour 44 minutes,6.4,3K,"['Action', 'Crime', 'Drama']","Five years after surviving the all-out war between the Sanno and Hanabishi crime families, former yakuza boss Otomo now works in South Korea for Mr. Chang, a renowned fixer whose influence extends into Japan. A relatively minor incident causes tensions to rise between Chang Enter... Read all","['yakuza', 'japan', 'japanese', 'organized crime', 'crime boss', 'sequel', 'third part']",Takeshi Kitano,"['Takeshi Kitano', 'Toshiyuki Nishida', 'Tatsuo Nadaka', 'Takeshi Kitano', 'Takeshi Kitano']",Takeshi Kitano,-2017,/title/tt6293042/
Last Passenger,1 hour 37 minutes,5.7,7.2K,"['Action', 'Mystery', 'Thriller']",A small group of everyday passengers on a speeding London commuter train battle their warped driver who has a dark plan for everyone on-board.,"['pantyhose', 'black pantyhose', 'female stockinged legs', 'hotel', 'tourist', 'argentina', 'true', 'alarming', 'ghost', 'demon']",Omid Nooshin,"['Omid Nooshin', 'Andy Love', 'Kas Graham', 'Dougray Scott', 'Kara Tointon']",Ridoin El Aissati,-2013,/title/tt1858481/
Pataakha,2 hours 14 minutes,7.2,4.2K,"['Action', 'Comedy', 'Drama']","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.",['based on story'],Vishal Bhardwaj,"['Charan Singh Pathik', 'Sanya Malhotra', 'Radhika Madan', 'Sunil Grover', 'Vishal Bhardwaj']",Vishal Bhardwaj,-2018,/title/tt8396128/
Chupa,not-released,no-rating,0,"['Action', 'Adventure', 'Drama']",A young boy on a family trip to Mexico discovers a young chupacabra hiding in his grandfather's shed. The youngster and his cousins embark on an adventure to save the mythical creature.,"['young', 'teenager', 'young boy', 'teenage boy', 'mexico', 'mythical', 'creature', 'explore', 'trip']",Jonás Cuarón,"['Jonás Cuarón', 'Sean Kennedy Moore', 'Demián Bichir', 'Julio Cesar Cedillo', 'Alex Knight']",Joe Barnathan,-2022,/title/tt14923260/
RoboCop Returns,not-released,no-rating,0,"['Action', 'Adventure', 'Crime']",RoboCop returns to fight crime in Detroit.,"['sequel', 'reboot', 'non comic book superhero', 'second part', 'retcon']",Abe Forsythe,"['Edward Neumeier', 'Justin Rhodes', 'Abe Forsythe', 'Michael Miner', 'Edward Neumeier']",Michael Miner,,/title/tt8688550/
300: The Resurgence,not-released,no-rating,0,"['Action', 'Fantasy', 'Horror']",none,['ship'],See company contact information,"['See producer', 'See preliminary cast']",See writer,,/title/tt4576032/
Return to Zootopia,not-released,7.5,152,"['Animation', 'Action', 'Adventure']","In Zootopia, Judy Hopps and Nick Wilde have spent six months as partners in the ZPD, catching criminals and being the best at what they do - but their relationship is slowly flourishing into something more than friendship.","['criminal', 'fan film']",Mauricio Velazco,"['Mauricio Velazco', 'Angie', 'Anton Mabey', 'Mauricio Velazco', 'Mauricio Velazco']",Mauricio Velazco,-2017,/title/tt9590742/
Init ng laman,not-released,7.2,37,"['Action', 'Romance']","While running from his wife, who is trying to kill him, he meets another object of his desire.","['female nudity', 'male nudity', 'nudity', 'parade', 'gasoline', 'insanity', 'mad woman', 'torture', 'suicide', 'butt']",Tata Esteban,"['Tata Esteban', 'Imelda Gabriel', 'Sunshine Cruz', 'Toffee Calma', 'John Apacible']",Dennis C. Evangelista,-1998,/title/tt0408914/
Mat Kilau,not-released,8.6,80,"['Action', 'Adventure', 'Drama']",The film is inspired by the epic Malaysian historical figure Mat Kilau who had fought against the British colonists in Pahang before independence.,"['based on real people', 'army', 'fight', 'blood', 'violence', 'warrior', 'weapon', 'violent', 'based on true story', 'character name in title']",Syamsul Yusof,"['Syamsul Yusof', 'Adi Putra', 'Beto Kusyairy', 'Fattah Amin', 'Syamsul Yusof']",Shahruddin Dali,-2022,/title/tt11347146/
The Appaloosa,not-released,6.3,3.2K,"['Action', 'Drama', 'Romance']",Man tries to recover a horse stolen from him by a Mexican bandit.,"['horse movie', 'sonora mexico', 'mexico', 'appaloosa horse', 'big sombrero', 'buckskin shirt', 'two big sombreros', 'mexican town', 'texan', 'breeding horse']",Sidney J. Furie,"['Roland Kibbee', 'Robert MacLeod', 'Marlon Brando', 'Anjanette Comer', 'John Saxon']",James Bridges,-1966,/title/tt0060120/
Bodyguard,2 hours 10 minutes,4.6,26K,"['Action', 'Comedy', 'Drama']",The daughter of a wealthy nobleman secretly falls in love with her bodyguard.,"['betrayal by a friend', 'betrayal', 'actress plays herself', 'boy wears eyeglasses', 'overweight male', 'man dresses as a woman', 'bodyguard', 'friend', 'diary', 'railway station']",Siddique,"['Kiran Kotrial', 'Siddique', 'Salman Khan', 'Kareena Kapoor', 'Raj Babbar']",J.P. Chowksey,(I) (2011),/title/tt1729637/
Journey to the Seventh Planet,1 hour 17 minutes,4.7,1.7K,"['Action', 'Adventure', 'Fantasy']","Earth sends a five-man team to explore the frozen planet Uranus, only to find a temperate forest and sultry women from their past on it, courtesy of an alien brain with evil designs.","['uranus the planet', 'mind control', 'space exploration', 'psychotronic film', 'low budget sci fi movie', 'quicksand', 'solar system', 'expedition', 'united nations', 'punctured spacesuit']",Sidney W. Pink,"['Ib Melchior', 'John Agar', 'Carl Ottosen', 'Ove Sprogøe', 'Sidney W. Pink']",Sidney W. Pink,-1962,/title/tt0056127/
Hard Matter,not-released,no-rating,0,"['Action', 'Thriller']",A power-hungry corporation has taken over the conventional prison system and made criminals the new law enforcers.,[],Justin Price,"['Harvey Keitel', 'Tyrese Gibson', 'Franzi Schissler', 'Justin Price', 'Justin Price']",Justin Price,,/title/tt18212138/
Voyna,2 hours,7.6,4.8K,"['Action', 'Drama', 'War']","During the bloody war in Chechnya, a British couple and two Russian soldiers are taken hostage by Chechen rebels. Two of the hostages are then released to bring the money for the British woman who is forced to wait for the ransom.","['military uniform', 'army uniform', 'russian military', 'danger', 'uniform', 'chechen war', 'man murders a woman', 'hostage', 'ransom', 'russian soldier']",Aleksey Balabanov,"['Aleksey Chadov', 'Ian Kelly', 'Ingeborga Dapkunaite', 'Aleksey Balabanov', 'Aleksey Balabanov']",Aleksey Balabanov,-2002,/title/tt0309047/
Firecracker,not-released,5.5,688,"['Action', 'Drama', 'Thriller']",Femme fatale martial arts expert teaches the mafia a lesson.,"['nudity', 'nude kickboxing', 'video nasty', 'martial arts match', 'death match', 'topless in public', 'foot massage', 'male star appears nude', 'female star appears nude', 'clothing ripped off']",Cirio H. Santiago,"['Ken Metcalfe', 'Cirio H. Santiago', 'Allan Holzman', 'Jillian Kesner', 'Darby Hinton']",Allan Holzman,-1981,/title/tt0067100/
Golden Years,1 hour 36 minutes,6.1,1.2K,"['Action', 'Comedy', 'Crime']","Fate, the pensions crisis and a steadfast refusal to accept the injustice of old age have contrived to force law abiding, retired couple, Arthur and Martha Goode into a life of crime. Refusing to take the loss of their pensions lying down and to fade away into their declining yea... Read all","['pensioner', 'bank robber', 'bank robbery', 'police officer', 'police force', 'senior citizen', 'male police officer', 'police', 'female police officer', 'female police officer uniformed']",John Miller,"['Nick Knowles', 'Jeremy Sheldon', 'Mark Williams', 'Simon Callow', 'Alun Armstrong']",John Miller,-2016,/title/tt4362646/
Thundercats,not-released,no-rating,0,"['Animation', 'Action', 'Adventure']",none,"['one word title', 'based on television series', 'alien']",See company contact information,"['See producer', 'See preliminary cast']",See writer,,/title/tt1047015/
The Seven Deadly Sins: Prisoners of the Sky,1 hour 39 minutes,7.1,4.8K,"['Animation', 'Action', 'Fantasy']",The Seven Deadly Sins travel to the Sky Temple in search of an elusive ingredient.,"['based on manga', 'based on anime']",Yasuto Nishikata,"['Makoto Uezu', 'Nakaba Suzuki', 'Yûki Kaji', 'Sora Amamiya', 'Misaki Kuno']",Noriyuki Abe,-2018,/title/tt9089294/
The Steel Helmet,1 hour 25 minutes,7.4,4.3K,"['Action', 'Drama', 'War']",A ragtag group of American stragglers battles against superior Communist troops in an abandoned Buddhist temple during the Korean War.,"['buddhist temple', 'korean war', 'cigar smoking', 'reference to josef stalin', 'reference to stephen foster', 'd day veteran', 'mascot', 'buddhist', 'death of boy', 'artillery strike']",Samuel Fuller,"['Gene Evans', 'Robert Hutton', 'Steve Brodie', 'Samuel Fuller', 'Samuel Fuller']",Samuel Fuller,-1951,/title/tt0044072/
Welcome Back,2 hours 32 minutes,4.2,6.1K,"['Action', 'Comedy', 'Crime']","A pair of reformed gangsters try to find a husband for their newly discovered sister, but complications arise due to mistaken identities.",['husband'],Anees Bazmee,"['Rajeev Kaul', 'Rajan Agarwal', 'John Abraham', 'Abhinay Raj Singh', 'Anil Kapoor']",Anees Bazmee,-2015,/title/tt3159708/
Sarfarosh,2 hours 54 minutes,8.1,26K,"['Action', 'Drama', 'Thriller']","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.","['police', 'terrorist', 'face smashed against a mirror', 'singer', 'terrorism', 'police officer', 'pakistan', 'die hard scenario', 'waterfall', 'shot in the leg']",John Mathew Matthan,"['John Mathew Matthan', 'Pathik Vats', 'Aamir Khan', 'Naseeruddin Shah', 'Sonali Bendre']",Hriday Lani,-1999,/title/tt0200087/
